 CS3.402 | Advanced Computer Networks | Ankit Gangwal
 MA6.101 | Probability and Statistics | Pawan Kumar,Tejas Bodas
 PD1.411 | Product Design Workshop | Veera Prakash Yalla
 PD2.401 | Product Management 101 | Ramesh Loganathan
 SC1.203 | Quantum Mechanics | Subhadip Mitra
 MA4.101 | Real Analysis | Siddhartha Das, Diganta Das
 CS3.502 | Real-Time Embedded Systems | Deepak Gangadharan
 CS8.501 | Research in Information Security | Ashok Kumar Das
 EC4.401 | Robotics: Dynamics and Control | Spandan Roy,Nagamanikandan Govindan
 SC4.110 | Science Lab I | Tapan Kumar Sau,Prabhakar Bhimalapuram
 EC5.406 | Signal Detection and Estimation Theory | Santosh Nannuru
 EC5.201 | Signal Processing | Chiranjeevi Yarra,Jayanthi Sivaswamy
 CS9.425 | Social Science Perspective on HCI | Nimmi Rangaswamy
 CS6.302 | Software Systems Development | Charu Sharma
 CS4.408 | Spatial Informatics | Rajan Krishnan Sundara
 SC2.304 | Spectroscopy | Krishnan Marimuthu
 CL2.405 | Speech Analysis and Linguistics | Chiranjeevi Yarra
 EC5.408 | Speech Signal Processing | Anil Kumar Vuppala
 CS7.403 | Statistical Methods in AI | Anoop Namboodiri
 CE1.501 | Structural Dynamics | Sunitha Palissery
 CE1.502 | Structural Engineering Design Studio | Pradeep Kumar Ramancharla
 CE1.509 | Structural Wind Engineering | Rehana Shaik
 SC3.203 | Systems Biology | Vinod Palakkad Krishnanunni
 EC5.202 | Systems Thinking | Spandan Roy,Vinod Palakkad Krishnanunni
 PD2.431 | Technology Product Entrepreneurship 1 | Ramesh Loganathan
 PD2.432 | Technology Product Entrepreneurship 2 | Ramesh Loganathan
 HS3.303 | Theories and Practices of Nationalism | Aniket Alam
 CE0.501 | Theory of Elasticity P Pravin Kumar | Venkat Rao
 HS0.201 | Thinking and Knowing in the Human Sciences-1 | Sushmita Banerji,Ashwin Jayanti
 HS0.202 | Thinking and Knowing in the Human Sciences-2 | Nazia Akhtar, Radhika Krishnan
 MA8.401 | Topics in Applied Optimization | Pawan Kumar
 SC2.401 | Topics in Nanosciences | Tapan Kumar Sau
 CS6.501 | Topics in Software Engineering | Raghu Babu Reddy Y
 HS1.205 | Understanding Raga: Semi Classical Forms of Indian | Saroja T K
 CS9.501 | User Research Methods | Priyanka Srivastava
 OC3.101 | Value Education-1 | Anil Kumar Vuppala, Radhika Mamidi
 EC2.201 | VLSI Design | Zia Abbas
 EC5.407 | Wireless Communications | Praful Mankar
